Year,Spring_var,Comments
1912,0 More winter,Saw Shadow.
1911,0 More winter,Saw Shadow; “55 couples at Groundhog Day Dance.”
1910,0 More winter,Saw Shadow.
1909,0 More winter,Saw Shadow.
1908,0 More winter,Saw Shadow; First front page coverage
1907,0 More winter,Saw Shadow.
1906,0 More winter,Saw Shadow.
1905,0 More winter,Saw Shadow.
1904,0 More winter,Saw Shadow.
1903,0 More winter,Saw Shadow.
1902,1  Early spring,Probably No Shadow.
1901,0 More winter,Saw Shadow.
1900,0 More winter,Saw Shadow.
1899,—No prediction.,No Record. Groundhog Club founded.
1898,0 More winter,Saw Shadow.
1897,—No prediction.,No Record.
1896,—No prediction.,No Record.
1895,—No prediction.,No Record.
1894,—No prediction.,No Record.
1893,—No prediction.,No Record.
1892,—No prediction.,No Record.
1891,—No prediction.,No Record.
1890,1  Early spring,No Shadow.
1889,—No prediction.,No Record.
1888,0 More winter,Saw Shadow.
1887,0 More winter,First Official trek to Gobbler’s Knob. Saw Shadow.
1886,—No prediction.,Groundhog Day first recognized in Punxsutawney by Weathers Wags
